Crash Number,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,LOCATION,Latitude,Longitude,Coordinates
30119,01/01/2014 03:30:00 PM,Wednesday,Auto,Parked Vehicle,229,FRESH POND PKY,,"229 FRESH POND PKY Cambridge, MA",0,0,"(0, 0)"
30120,01/01/2014 12:00:00 PM,Wednesday,Auto,Auto,,Sixth St,Cambridge St,"Sixth St & Cambridge St Cambridge, MA",42.3716545,-71.0847931,"(42.3716545, -71.0847931)"
30121,12/31/2014 12:15:00 PM,Tuesday,Auto,Parked Vehicle,168,FRESH POND PKY,,"168 FRESH POND PKY Cambridge, MA",0,0,"(0, 0)"
30122,01/03/2014 01:40:00 AM,Friday,Auto,Fixed Object,,Hampshire St,Tremont St,"Hampshire St & Tremont St Cambridge, MA",42.3715019,-71.0981216,"(42.3715019, -71.0981216)"
30123,01/03/2014 02:05:00 PM,Friday,Auto,Auto,,Cambridge St,HUNTING ST,"Cambridge St & HUNTING ST Cambridge, MA",42.3724785,-71.0912018,"(42.3724785, -71.0912018)"
30124,01/05/2014 07:44:00 PM,Sunday,Auto,Auto,,Broadway,,"Broadway &  Cambridge, MA",0,0,"(0, 0)"
30125,01/05/2014 09:45:00 AM,Sunday,Auto,Auto,109,PEARL ST,,"109 PEARL ST Cambridge, MA",42.3619995,-71.1055527,"(42.3619995, -71.1055527)"
30126,01/06/2014 09:45:00 AM,Monday,Auto,Truck,468,Broadway,,"468 Broadway Cambridge, MA",42.3739777,-71.1128082,"(42.3739777, -71.1128082)"
30127,01/03/2014 07:00:00 AM,Friday,Auto,Auto,19,Chauncy St,,"19 Chauncy St Cambridge, MA",42.3796883,-71.1221466,"(42.3796883, -71.1221466)"
30128,01/06/2014 09:45:00 AM,Monday,Auto,Auto,,Massachusetts Ave,MEACHAM RD,"Massachusetts Ave & MEACHAM RD Cambridge, MA",42.3950806,-71.1276398,"(42.3950806, -71.1276398)"
30129,01/06/2014 01:00:00 PM,Monday,Auto,Parked Vehicle,55,Sacramento St,,"55 Sacramento St Cambridge, MA",42.3825607,-71.1144028,"(42.3825607, -71.1144028)"
30130,01/06/2014 07:29:00 PM,Monday,Auto,Parked Vehicle,,LEE ST,West St,"LEE ST & West St Cambridge, MA",42.3701477,-71.105484,"(42.3701477, -71.105484)"
30131,01/07/2014 12:01:00 PM,Tuesday,Auto,Parked Vehicle,,MAIN ST,Newtowne Ct,"MAIN ST & Newtowne Ct Cambridge, MA",0,0,"(0, 0)"
30132,01/06/2014 02:38:00 PM,Monday,Auto,Auto,,Broadway,West Pl,"Broadway & West Pl Cambridge, MA",42.3703384,-71.1036148,"(42.3703384, -71.1036148)"
30133,01/06/2014 07:30:00 PM,Monday,Auto,Parked Vehicle,100,Cambridgeside Pl,,"100 Cambridgeside Pl Cambridge, MA",42.3670807,-71.0765686,"(42.3670807, -71.0765686)"
30134,01/04/2014 03:39:00 PM,Saturday,Auto,Auto,,Ash St,Acacia St,"Ash St & Acacia St Cambridge, MA",42.3751297,-71.1247787,"(42.3751297, -71.1247787)"
30135,01/04/2014 12:05:00 PM,Saturday,Auto,Auto,,Brattle Sq,Sparks St,"Brattle Sq & Sparks St Cambridge, MA",42.3778458,-71.1301651,"(42.3778458, -71.1301651)"
30136,01/01/2014 10:00:00 PM,Wednesday,Auto,Auto,364,Rindge Ave,,"364 Rindge Ave Cambridge, MA",42.393898,-71.1385269,"(42.393898, -71.1385269)"
30137,01/07/2014 03:20:00 PM,Tuesday,Auto,Pedestrian,199,Alewife Brook Pky,,"199 Alewife Brook Pky Cambridge, MA",42.3900223,-71.1421814,"(42.3900223, -71.1421814)"
30138,01/08/2014 08:44:00 AM,Wednesday,Auto,Taxi,80,SHERMAN ST,,"80 SHERMAN ST Cambridge, MA",42.3879852,-71.1322098,"(42.3879852, -71.1322098)"
30139,01/08/2014 11:00:00 AM,Wednesday,School Bus,Auto,307,Concord Ave,,"307 Concord Ave Cambridge, MA",42.3839912,-71.1344452,"(42.3839912, -71.1344452)"
30140,01/05/2014 08:45:00 PM,Sunday,Auto,Parked Vehicle,49,White St,,"49 White St Cambridge, MA",42.3895836,-71.1171036,"(42.3895836, -71.1171036)"
30141,01/08/2014 01:45:00 PM,Wednesday,Auto,Fixed Object,119,Windsor St,,"119 Windsor St Cambridge, MA",42.3648338,-71.0962753,"(42.3648338, -71.0962753)"
30142,01/08/2014 12:15:00 PM,Wednesday,Auto,Parked Vehicle,,Concord Ave,Walden St,"Concord Ave & Walden St Cambridge, MA",42.383831,-71.1340866,"(42.383831, -71.1340866)"
30143,01/09/2014 06:30:00 PM,Thursday,Auto,Fixed Object,325,Concord Ave,,"325 Concord Ave Cambridge, MA",42.3842964,-71.1351318,"(42.3842964, -71.1351318)"
30144,01/09/2014 04:35:00 PM,Thursday,Auto,Auto,,Western Ave,HOWARD ST,"Western Ave & HOWARD ST Cambridge, MA",42.3647499,-71.1107712,"(42.3647499, -71.1107712)"
30145,01/10/2014 04:17:00 PM,Friday,Auto,Auto,362,Rindge Ave,,"362 Rindge Ave Cambridge, MA",42.3938904,-71.1384354,"(42.3938904, -71.1384354)"
30146,01/10/2014 08:00:00 PM,Friday,Bus (Other),Auto,,Massachusetts Ave,Vassar St,"Massachusetts Ave & Vassar St Cambridge, MA",42.3601532,-71.0948792,"(42.3601532, -71.0948792)"
30147,01/10/2014 09:45:00 AM,Friday,Auto,Truck,,MAGAZINE ST,Cottage St,"MAGAZINE ST & Cottage St Cambridge, MA",42.3630714,-71.10672,"(42.3630714, -71.10672)"
30148,01/12/2014 08:02:00 PM,Sunday,Taxi,Truck,,Brookline St,GREEN ST,"Brookline St & GREEN ST Cambridge, MA",42.3634186,-71.1019363,"(42.3634186, -71.1019363)"
30149,01/12/2014 11:15:00 PM,Sunday,Auto,Auto,,Massachusetts Ave,MEMORIAL DR,"Massachusetts Ave & MEMORIAL DR Cambridge, MA",42.3573647,-71.0925674,"(42.3573647, -71.0925674)"
30150,01/07/2014 12:20:00 PM,Tuesday,Auto,Parked Vehicle,808,MEMORIAL DR,,"808 MEMORIAL DR Cambridge, MA",42.360836,-71.1158752,"(42.360836, -71.1158752)"
30151,01/13/2014 07:30:00 AM,Monday,Auto,Parked Vehicle,10,Cambridge Ctr,,"10 Cambridge Ctr Cambridge, MA",42.3882561,-71.1226349,"(42.3882561, -71.1226349)"
30152,01/14/2014 08:30:00 AM,Tuesday,Auto,Parked Vehicle,3,Crawford St,,"3 Crawford St Cambridge, MA",42.371273,-71.1070557,"(42.371273, -71.1070557)"
30153,01/14/2014 05:20:00 PM,Tuesday,Auto,Parked Vehicle,,Broadway,Antrim St,"Broadway & Antrim St Cambridge, MA",42.3703995,-71.1037674,"(42.3703995, -71.1037674)"
30154,01/14/2014 08:30:00 PM,Tuesday,Auto,Fixed Object,,Concord Ave,FAYERWEATHER ST,"Concord Ave & FAYERWEATHER ST Cambridge, MA",42.3845901,-71.1357956,"(42.3845901, -71.1357956)"
30155,01/04/2014 05:00:00 PM,Saturday,Auto,Auto,,Cambridge St,SPRINGFIELD ST,"Cambridge St & SPRINGFIELD ST Cambridge, MA",42.3736877,-71.1005325,"(42.3736877, -71.1005325)"
30156,01/13/2014 07:57:00 AM,Monday,Bus (Other),Auto,1853,Massachusetts Ave,,"1853 Massachusetts Ave Cambridge, MA",42.3875427,-71.1192322,"(42.3875427, -71.1192322)"
30157,01/13/2014 01:00:00 PM,Monday,Auto,Auto,,Porter Cir,,"Porter Cir Cambridge, MA",0,0,"(0, 0)"
30158,01/13/2014 04:30:00 PM,Monday,Auto,Auto,,Concord Ave,SMITH PL,"Concord Ave & SMITH PL Cambridge, MA",42.3901138,-71.1506653,"(42.3901138, -71.1506653)"
30159,01/13/2014 04:53:00 PM,Monday,Auto,Auto,620,Concord Ave,,"620 Concord Ave Cambridge, MA",0,0,"(0, 0)"
30160,01/14/2014 03:20:00 PM,Tuesday,Auto,Auto,0,GARDEN ST,,"0 GARDEN ST Cambridge, MA",42.3755035,-71.1199493,"(42.3755035, -71.1199493)"
30161,01/14/2014 06:09:00 AM,Tuesday,Auto,Fixed Object,139,MAIN ST,,"139 MAIN ST Cambridge, MA",42.3620682,-71.082634,"(42.3620682, -71.082634)"
30162,01/15/2014 12:43:00 PM,Wednesday,Auto,Pedestrian,,Broadway,Inman Sq,"Broadway & Inman Sq Cambridge, MA",42.3700714,-71.1029358,"(42.3700714, -71.1029358)"
30163,01/06/2014 05:30:00 PM,Monday,Auto,Bicycle,,Cambridge St,OAK ST,"Cambridge St & OAK ST Cambridge, MA",42.3735771,-71.0996628,"(42.3735771, -71.0996628)"
30164,01/17/2014 01:31:00 AM,Friday,Auto,Parked Vehicle,239,HARVARD ST,,"239 HARVARD ST Cambridge, MA",42.3679504,-71.1007538,"(42.3679504, -71.1007538)"
30165,01/16/2014 12:43:00 PM,Thursday,Auto,Bicycle,,Walden St,RICHARD AVE,"Walden St & RICHARD AVE Cambridge, MA",0,0,"(0, 0)"
30166,01/17/2014 09:06:00 AM,Friday,Auto,Auto,,Cambridge St,FAYETTE ST,"Cambridge St & FAYETTE ST Cambridge, MA",42.3738937,-71.1021042,"(42.3738937, -71.1021042)"
30167,01/17/2014 09:45:00 AM,Friday,Auto,Auto,640,Concord Ave,,"640 Concord Ave Cambridge, MA",42.389389,-71.1470566,"(42.389389, -71.1470566)"
30168,01/17/2014 07:30:00 AM,Friday,Auto,Parked Vehicle,,GROZIER RD,,"GROZIER RD Cambridge, MA",0,0,"(0, 0)"
30169,01/17/2014 07:42:00 PM,Friday,Auto,Auto,29,MOUNT AUBURN ST,,"29 MOUNT AUBURN ST Cambridge, MA",42.3709106,-71.1156464,"(42.3709106, -71.1156464)"
30170,01/18/2014 12:00:00 AM,Saturday,Auto,Parked Vehicle,109,HARVEY ST,,"109 HARVEY ST Cambridge, MA",42.3973694,-71.1336975,"(42.3973694, -71.1336975)"
30171,01/18/2014 08:06:00 AM,Saturday,Auto,Fixed Object,1673,Cambridge St,IRVING ST,"1673 Cambridge St Cambridge, MA",42.3750496,-71.1110687,"(42.3750496, -71.1110687)"
30172,01/18/2014 10:21:00 AM,Saturday,Auto,Auto,,HARVARD ST,HANCOCK ST,"HARVARD ST & HANCOCK ST Cambridge, MA",42.3700485,-71.1068878,"(42.3700485, -71.1068878)"
30173,01/18/2014 01:15:00 PM,Saturday,Auto,Fixed Object,,HOLWORTHY ST,Fountain Ter,"HOLWORTHY ST & Fountain Ter Cambridge, MA",42.3787231,-71.151001,"(42.3787231, -71.151001)"
30174,01/18/2014 02:05:00 PM,Saturday,Auto,Parked Vehicle,,Cambridge St,Antrim St,"Cambridge St & Antrim St Cambridge, MA",42.3737793,-71.1012344,"(42.3737793, -71.1012344)"
30175,01/19/2014 11:35:00 AM,Sunday,Auto,Auto,1435,Massachusetts Ave,,"1435 Massachusetts Ave Cambridge, MA",0,0,"(0, 0)"
30176,01/19/2014 02:15:00 PM,Sunday,Auto,Auto,,HARVARD ST,LEE ST,"HARVARD ST & LEE ST Cambridge, MA",42.3697624,-71.1058502,"(42.3697624, -71.1058502)"
30177,01/19/2014 02:30:00 PM,Sunday,Auto,Auto,,Third St,SPRING ST,"Third St & SPRING ST Cambridge, MA",42.3689651,-71.0803223,"(42.3689651, -71.0803223)"
30178,01/21/2014 06:50:00 AM,Tuesday,Auto,Auto,,HARVARD ST,Ware St,"HARVARD ST & Ware St Cambridge, MA",42.3718414,-71.1134338,"(42.3718414, -71.1134338)"
30179,01/22/2014 07:39:00 AM,Wednesday,Auto,Auto,77,Massachusetts Ave,,"77 Massachusetts Ave Cambridge, MA",42.3592186,-71.0937195,"(42.3592186, -71.0937195)"
30180,01/22/2014 09:51:00 AM,Wednesday,Auto,Parked Vehicle,45,PROSPECT ST,,"45 PROSPECT ST Cambridge, MA",42.3663177,-71.1031799,"(42.3663177, -71.1031799)"
30181,01/23/2014 08:12:00 AM,Thursday,Auto,Parked Vehicle,103,Cushing St,,"103 Cushing St Cambridge, MA",42.3777962,-71.1520462,"(42.3777962, -71.1520462)"
30182,01/18/2014 12:00:00 AM,Saturday,Auto,Parked Vehicle,350,Third St,,"350 Third St Cambridge, MA",42.3638268,-71.0834656,"(42.3638268, -71.0834656)"
30183,01/23/2014 02:45:00 AM,Thursday,Auto,Auto,,MAGAZINE ST,GRANITE ST,"MAGAZINE ST & GRANITE ST Cambridge, MA",42.3568649,-71.1135559,"(42.3568649, -71.1135559)"
30184,01/23/2014 07:15:00 AM,Thursday,Auto,Auto,281,Albany St,,"281 Albany St Cambridge, MA",42.3574791,-71.1031952,"(42.3574791, -71.1031952)"
30185,01/23/2014 02:41:00 PM,Thursday,Auto,Parked Vehicle,505,Massachusetts Ave,,"505 Massachusetts Ave Cambridge, MA",42.3642349,-71.1017685,"(42.3642349, -71.1017685)"
30186,01/23/2014 02:55:00 PM,Thursday,Auto,Auto,244,Concord Ave,,"244 Concord Ave Cambridge, MA",42.383049,-71.1323776,"(42.383049, -71.1323776)"
30187,01/23/2014 08:30:00 PM,Thursday,Auto,Parked Vehicle,,Porter Sq,,"Porter Sq Cambridge, MA",0,0,"(0, 0)"
30188,01/24/2014 08:30:00 AM,Friday,Auto,Parked Vehicle,,Third St,Gore St,"Third St & Gore St Cambridge, MA",42.3717155,-71.0796814,"(42.3717155, -71.0796814)"
30189,01/24/2014 08:40:00 AM,Friday,Auto,Auto,,JFK St,ELIOT ST,"JFK St & ELIOT ST Cambridge, MA",42.371418,-71.1211014,"(42.371418, -71.1211014)"
30190,01/24/2014 09:03:00 AM,Friday,Auto,Auto,,Cambridge St,Third St,"Cambridge St & Third St Cambridge, MA",42.3710213,-71.0798492,"(42.3710213, -71.0798492)"
30191,01/24/2014 01:19:00 PM,Friday,Truck,Truck,565,Massachusetts Ave,PEARL ST,"565 Massachusetts Ave Cambridge, MA",42.3647003,-71.1025543,"(42.3647003, -71.1025543)"
30192,01/24/2014 02:30:00 PM,Friday,Truck,Fixed Object,,SPRING ST,,"SPRING ST Cambridge, MA",0,0,"(0, 0)"
30193,01/24/2014 03:01:00 PM,Friday,Auto,Pedestrian,13,GARDNER RD,,"13 GARDNER RD Cambridge, MA",42.3708878,-71.099884,"(42.3708878, -71.099884)"
30194,01/25/2014 11:00:00 AM,Saturday,Auto,Parked Vehicle,,River St,Putnam Ave,"River St & Putnam Ave Cambridge, MA",42.3622589,-71.1135483,"(42.3622589, -71.1135483)"
30195,01/25/2014 01:35:00 PM,Saturday,Auto,Parked Vehicle,2150,Massachusetts Ave,,"2150 Massachusetts Ave Cambridge, MA",42.3921242,-71.1243286,"(42.3921242, -71.1243286)"
30196,01/25/2014 06:00:00 PM,Saturday,Auto,Auto,,Massachusetts Ave,Allen St,"Massachusetts Ave & Allen St Cambridge, MA",42.3898773,-71.1204987,"(42.3898773, -71.1204987)"
30197,01/25/2014 01:45:00 PM,Saturday,Auto,Auto,,GARDEN ST,HURON AVE,"GARDEN ST & HURON AVE Cambridge, MA",42.3838615,-71.1293106,"(42.3838615, -71.1293106)"
30198,01/25/2014 10:50:00 PM,Saturday,Auto,Auto,1066,Cambridge St,,"1066 Cambridge St Cambridge, MA",42.372982,-71.0950623,"(42.372982, -71.0950623)"
30199,01/26/2014 12:18:00 AM,Sunday,Auto,Auto,,Aberdeen Way,MOUNT AUBURN ST,"Aberdeen Way & MOUNT AUBURN ST Cambridge, MA",42.3752632,-71.1458282,"(42.3752632, -71.1458282)"
30200,01/26/2014 10:54:00 AM,Sunday,Auto,Auto,30,PROSPECT ST,Massachusetts Ave,"30 PROSPECT ST Cambridge, MA",42.3659592,-71.1035767,"(42.3659592, -71.1035767)"
30201,01/27/2014 10:29:00 AM,Monday,Motorcycle,Fixed Object,,Cambridge St,Cambridgepark Dr,"Cambridge St & Cambridgepark Dr Cambridge, MA",0,0,"(0, 0)"
30202,01/27/2014 01:38:00 PM,Monday,Auto,Parked Vehicle,30,Newtowne Ct,,"30 Newtowne Ct Cambridge, MA",0,0,"(0, 0)"
30203,01/28/2014 09:49:00 AM,Tuesday,Auto,Parked Vehicle,,Channing St,MOUNT AUBURN ST,"Channing St & MOUNT AUBURN ST Cambridge, MA",42.3749886,-71.1352463,"(42.3749886, -71.1352463)"
30204,01/27/2014 05:09:00 PM,Monday,Auto,Auto,,Binney St,Vassar St,"Binney St & Vassar St Cambridge, MA",0,0,"(0, 0)"
30205,01/27/2014 05:40:00 PM,Monday,Auto,Auto,,Albany St,Massachusetts Ave,"Albany St & Massachusetts Ave Cambridge, MA",42.3608284,-71.0960159,"(42.3608284, -71.0960159)"
30206,01/27/2014 01:40:00 PM,Monday,Auto,Parked Vehicle,64,GORHAM ST,,"64 GORHAM ST Cambridge, MA",42.3821945,-71.1152878,"(42.3821945, -71.1152878)"
30207,01/24/2014 12:00:00 AM,Friday,Auto,Auto,2397,Massachusetts Ave,,"2397 Massachusetts Ave Cambridge, MA",42.3973007,-71.1301346,"(42.3973007, -71.1301346)"
30208,01/27/2014 11:35:00 AM,Monday,Auto,Auto,136,Bishop Allen Dr,,"136 Bishop Allen Dr Cambridge, MA",42.366787,-71.1039047,"(42.366787, -71.1039047)"
30209,01/28/2014 08:00:00 AM,Tuesday,Auto,Parked Vehicle,,HARVARD ST,PROSPECT ST,"HARVARD ST & PROSPECT ST Cambridge, MA",42.3683014,-71.1017456,"(42.3683014, -71.1017456)"
30210,01/28/2014 05:29:00 PM,Tuesday,Auto,Auto,,Banks St,MOUNT AUBURN ST,"Banks St & MOUNT AUBURN ST Cambridge, MA",42.370491,-71.1144638,"(42.370491, -71.1144638)"
30211,01/14/2014 06:00:00 AM,Tuesday,Auto,Parked Vehicle,,Franklin St,MAGAZINE ST,"Franklin St & MAGAZINE ST Cambridge, MA",42.3644981,-71.1051483,"(42.3644981, -71.1051483)"
30212,01/29/2014 08:30:00 AM,Wednesday,Auto,Parked Vehicle,,EVERETT ST,,"EVERETT ST Cambridge, MA",0,0,"(0, 0)"
30213,01/29/2014 05:00:00 PM,Wednesday,Auto,Auto,4A,DUDLEY ST,,"4A DUDLEY ST Cambridge, MA",42.3966103,-71.1294327,"(42.3966103, -71.1294327)"
30214,01/29/2014 08:25:00 PM,Wednesday,Auto,Auto,,Massachusetts Ave,Clarendon Ave,"Massachusetts Ave & Clarendon Ave Cambridge, MA",42.3993645,-71.1327133,"(42.3993645, -71.1327133)"
30215,01/29/2014 09:00:00 PM,Wednesday,Auto,Fixed Object,,MILLER AVE,ORCHARD ST,"MILLER AVE & ORCHARD ST Cambridge, MA",42.3920517,-71.1212692,"(42.3920517, -71.1212692)"
31738,01/30/2014 01:25:00 PM,Thursday,Auto,Auto,,Coolidge Ave,MOUNT AUBURN ST,"Coolidge Ave & MOUNT AUBURN ST Cambridge, MA",42.374939,-71.1397171,"(42.374939, -71.1397171)"
31739,01/29/2014 07:30:00 PM,Wednesday,Auto,Parked Vehicle,141,FAYERWEATHER ST,,"141 FAYERWEATHER ST Cambridge, MA",42.3845749,-71.1358032,"(42.3845749, -71.1358032)"
31740,01/28/2014 10:00:00 AM,Tuesday,Auto,Auto,100,Cambridgeside Pl,,"100 Cambridgeside Pl Cambridge, MA",42.3670807,-71.0765686,"(42.3670807, -71.0765686)"
31741,01/31/2014 12:00:00 PM,Friday,Taxi,Truck,,Binney St,FIRST ST,"Binney St & FIRST ST Cambridge, MA",42.3651428,-71.0782089,"(42.3651428, -71.0782089)"
31742,02/01/2014 06:22:00 PM,Saturday,Auto,Auto,,Massachusetts Ave,GARDEN ST,"Massachusetts Ave & GARDEN ST Cambridge, MA",42.3754883,-71.1199188,"(42.3754883, -71.1199188)"
31743,02/02/2014 08:00:00 PM,Sunday,Auto,Parked Vehicle,,Boardman St,Broadway,"Boardman St & Broadway Cambridge, MA",42.3674927,-71.0963974,"(42.3674927, -71.0963974)"
31744,02/03/2014 07:30:00 PM,Monday,Auto,Auto,78,Porter St,,"78 Porter St Cambridge, MA",42.389946,-71.1208038,"(42.389946, -71.1208038)"
31745,02/03/2014 03:15:00 PM,Monday,Truck,Auto,,Albany St,Portland St,"Albany St & Portland St Cambridge, MA",42.3617287,-71.0939789,"(42.3617287, -71.0939789)"
31746,02/03/2014 04:45:00 PM,Monday,Auto,Auto,,Massachusetts Ave,Windsor St,"Massachusetts Ave & Windsor St Cambridge, MA",42.3613892,-71.0969543,"(42.3613892, -71.0969543)"
31747,02/05/2014 11:45:00 AM,Wednesday,Auto,Auto,77,Massachusetts Ave,,"77 Massachusetts Ave Cambridge, MA",42.3592186,-71.0937195,"(42.3592186, -71.0937195)"
31748,02/05/2014 03:14:00 PM,Wednesday,Auto,Parked Vehicle,13,LINCOLN ST,,"13 LINCOLN ST Cambridge, MA",42.3707924,-71.093399,"(42.3707924, -71.093399)"
31749,02/06/2014 09:15:00 AM,Thursday,Auto,Bicycle,,Cambridge St,Windsor St,"Cambridge St & Windsor St Cambridge, MA",42.3727493,-71.0932846,"(42.3727493, -71.0932846)"
31750,02/06/2014 06:47:00 PM,Tuesday,Auto,Auto,1280,Cambridge St,,"1280 Cambridge St Cambridge, MA",42.3735085,-71.0991211,"(42.3735085, -71.0991211)"
31751,01/29/2014 04:07:00 PM,Wednesday,MBTA Bus,Parked Vehicle,,Massachusetts Ave,Norfolk St,"Massachusetts Ave & Norfolk St Cambridge, MA",42.3644257,-71.1020813,"(42.3644257, -71.1020813)"
31752,01/24/2014 11:10:00 AM,Friday,Auto,Parked Vehicle,,Massachusetts Ave,GLADSTONE ST,"Massachusetts Ave & GLADSTONE ST Cambridge, MA",42.400528,-71.1351242,"(42.400528, -71.1351242)"
31753,02/06/2014 05:30:00 PM,Thursday,Auto,Parked Vehicle,,Cambridge St,Webster Ave,"Cambridge St & Webster Ave Cambridge, MA",0,0,"(0, 0)"
31754,02/09/2014 07:58:00 AM,Sunday,Auto,Auto,357,PROSPECT ST,Cambridge St,"357 PROSPECT ST Cambridge, MA",42.3735466,-71.0980225,"(42.3735466, -71.0980225)"
31755,02/07/2014 09:55:00 AM,Friday,Auto,Parked Vehicle,,Massachusetts Ave,EDMUNDS ST,"Massachusetts Ave & EDMUNDS ST Cambridge, MA",42.3989525,-71.1321259,"(42.3989525, -71.1321259)"
31756,02/07/2014 10:15:00 AM,Friday,Auto,Auto,326,MAIN ST,Kendall Sq,"326 MAIN ST Cambridge, MA",42.3624687,-71.0867767,"(42.3624687, -71.0867767)"
31757,02/08/2014 10:50:00 AM,Saturday,Auto,Fixed Object,205,Walden Square Rd,Wood St,"205 Walden Square Rd Cambridge, MA",0,0,"(0, 0)"
31758,02/09/2014 10:00:00 PM,Sunday,Auto,Parked Vehicle,31,HUNTING ST,,"31 HUNTING ST Cambridge, MA",42.3739395,-71.0908585,"(42.3739395, -71.0908585)"
31759,02/02/2014 09:20:00 AM,Sunday,Auto,Auto,,HARDWICK ST,Bristol St,"HARDWICK ST & Bristol St Cambridge, MA",0,0,"(0, 0)"
31760,02/03/2014 06:00:00 AM,Monday,Auto,Parked Vehicle,,LINSKY WAY,Third St,"LINSKY WAY & Third St Cambridge, MA",42.3650856,-71.0827484,"(42.3650856, -71.0827484)"
31761,02/10/2014 04:28:00 AM,Monday,Auto,Auto,261,Putnam Ave,Brookline St,"261 Putnam Ave Cambridge, MA",42.363266,-71.1137009,"(42.363266, -71.1137009)"
31762,02/10/2014 09:00:00 AM,Monday,Auto,Pedestrian,,North Point Blvd,Museum Way,"North Point Blvd & Museum Way Cambridge, MA",42.370369,-71.0708389,"(42.370369, -71.0708389)"
31763,02/10/2014 02:27:00 PM,Monday,Truck,Auto,196,Broadway,,"196 Broadway Cambridge, MA",42.365799,-71.0920868,"(42.365799, -71.0920868)"
31764,02/10/2014 06:20:00 PM,Monday,Auto,Auto,139-,MAGAZINE ST,,"139- MAGAZINE ST Cambridge, MA",42.3584099,-71.1118546,"(42.3584099, -71.1118546)"
31766,02/11/2014 09:55:00 AM,Tuesday,Auto,Auto,,Inman St,Bishop Allen Dr,"Inman St & Bishop Allen Dr Cambridge, MA",42.3673363,-71.1048279,"(42.3673363, -71.1048279)"
31767,02/11/2014 08:25:00 AM,Tuesday,Auto,Auto,,HARVARD ST,DAVIS ST,"HARVARD ST & DAVIS ST Cambridge, MA",42.3651505,-71.0932999,"(42.3651505, -71.0932999)"
31768,02/09/2014 06:30:00 PM,Sunday,Auto,Auto,625,MOUNT AUBURN ST,,"625 MOUNT AUBURN ST Cambridge, MA",42.3751373,-71.1467896,"(42.3751373, -71.1467896)"
31769,02/10/2014 10:23:00 AM,Monday,Auto,Auto,,MOUNT AUBURN ST,HOMER AVE,"MOUNT AUBURN ST & HOMER AVE Cambridge, MA",42.3749657,-71.1480179,"(42.3749657, -71.1480179)"
31770,02/10/2014 11:25:00 AM,Monday,Auto,Auto,,Massachusetts Ave,Sidney St,"Massachusetts Ave & Sidney St Cambridge, MA",42.3629494,-71.0995789,"(42.3629494, -71.0995789)"
31771,02/11/2014 11:50:00 AM,Tuesday,Auto,Auto,5,White St,Porter Cir,"5 White St Cambridge, MA",42.3891678,-71.1178818,"(42.3891678, -71.1178818)"
31772,02/11/2014 12:50:00 PM,Tuesday,Auto,Auto,,Otis St,FIFTH ST,"Otis St & FIFTH ST Cambridge, MA",42.3707428,-71.0833054,"(42.3707428, -71.0833054)"
31773,02/11/2014 06:26:00 PM,Tuesday,Auto,Auto,,HARVARD ST,Dana St,"HARVARD ST & Dana St Cambridge, MA",42.3708076,-71.1096191,"(42.3708076, -71.1096191)"
31775,02/12/2014 08:50:00 AM,Wednesday,Taxi,Pedestrian,,MOUNT AUBURN ST,DUNSTER ST,"MOUNT AUBURN ST & DUNSTER ST Cambridge, MA",42.3722534,-71.119339,"(42.3722534, -71.119339)"
31776,02/11/2014 06:07:00 PM,Tuesday,Auto,Pedestrian,,KIRKLAND ST,,"KIRKLAND ST Cambridge, MA",0,0,"(0, 0)"
31777,02/11/2014 06:14:00 PM,Tuesday,Auto,Auto,,Cardinal Medeiros Ave,HARDWICK ST,"Cardinal Medeiros Ave & HARDWICK ST Cambridge, MA",42.3696632,-71.089859,"(42.3696632, -71.089859)"
31778,02/08/2014 03:25:00 PM,Saturday,Auto,Auto,851,Cambridge St,,"851 Cambridge St Cambridge, MA",42.3724556,-71.091011,"(42.3724556, -71.091011)"
31779,02/08/2014 11:30:00 PM,Saturday,Auto,Auto,,Cambridge St,Windsor St,"Cambridge St & Windsor St Cambridge, MA",42.3727493,-71.0932846,"(42.3727493, -71.0932846)"
31780,02/06/2014 03:46:00 PM,Thursday,Auto,Auto,,MARIE AVE,MAPLE AVE,"MARIE AVE & MAPLE AVE Cambridge, MA",42.373394,-71.1039429,"(42.373394, -71.1039429)"
31782,02/06/2014 05:06:00 AM,Thursday,Auto,Auto,,Cambridge St,Second St,"Cambridge St & Second St Cambridge, MA",42.3708611,-71.078598,"(42.3708611, -71.078598)"
31783,02/02/2014 08:30:00 AM,Sunday,Auto,Fixed Object,,Canal Park,Canal Park,"Canal Park & Canal Park Cambridge, MA",42.3696098,-71.0747147,"(42.3696098, -71.0747147)"
31784,01/31/2014 12:00:00 PM,Friday,Taxi,Truck,,Binney St,FIRST ST,"Binney St & FIRST ST Cambridge, MA",42.3651428,-71.0782089,"(42.3651428, -71.0782089)"
31785,01/14/2014 06:00:00 AM,Tuesday,Auto,Fixed Object,,Franklin St,MAGAZINE ST,"Franklin St & MAGAZINE ST Cambridge, MA",42.3644981,-71.1051483,"(42.3644981, -71.1051483)"
31786,01/14/2014 09:53:00 AM,Friday,Auto,Auto,,Walden St,Massachusetts Ave,"Walden St & Massachusetts Ave Cambridge, MA",42.3913727,-71.1232681,"(42.3913727, -71.1232681)"
