Crash Number,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,LOCATION,Latitude,Longitude,Coordinates
32617,09/02/2014 10:10:00 AM,Tuesday,Truck,Auto,77,Massachusetts Ave,,"77 Massachusetts Ave Cambridge, MA",42.3592186,-71.0937195,"(42.3592186, -71.0937195)"
32618,08/31/2014 07:00:00 PM,Sunday,Auto,Parked Vehicle,18,HARDWICK ST,,"18 HARDWICK ST Cambridge, MA",42.3699074,-71.0906296,"(42.3699074, -71.0906296)"
32619,09/03/2014 09:40:00 AM,Wednesday,Auto,Bicycle,,Broadway,Boardman Pl,"Broadway & Boardman Pl Cambridge, MA",42.3674927,-71.0963974,"(42.3674927, -71.0963974)"
32621,09/04/2014 10:57:00 AM,Thursday,Auto,Auto,1,Leighton,,"1 Leighton Cambridge, MA",42.3700829,-71.073761,"(42.3700829, -71.073761)"
32623,08/25/2014 11:48:00 PM,Monday,Auto,Auto,25,FIRST ST,,"25 FIRST ST Cambridge, MA",42.3695946,-71.0771713,"(42.3695946, -71.0771713)"
32624,09/05/2014 09:20:00 AM,Friday,Auto,Bicycle,,Hampshire St,Cambridge St,"Hampshire St & Cambridge St Cambridge, MA",42.3737297,-71.1008377,"(42.3737297, -71.1008377)"
32625,09/06/2014 08:08:00 PM,Saturday,Auto,Auto,,MOUNT AUBURN ST,HAWTHORNE ST,"MOUNT AUBURN ST & HAWTHORNE ST Cambridge, MA",42.3744316,-71.1264191,"(42.3744316, -71.1264191)"
32627,09/02/2014 04:05:00 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Vassar St,"Massachusetts Ave & Vassar St Cambridge, MA",42.3601532,-71.0948792,"(42.3601532, -71.0948792)"
32628,09/02/2014 06:53:00 PM,Tuesday,Auto,Auto,100,GARDEN ST,Appian Way,"100 GARDEN ST Cambridge, MA",42.3836594,-71.1288071,"(42.3836594, -71.1288071)"
32629,09/02/2014 09:15:00 PM,Tuesday,Auto,Auto,,HANCOCK ST,HARVARD ST,"HANCOCK ST & HARVARD ST Cambridge, MA",42.3700485,-71.1068878,"(42.3700485, -71.1068878)"
32630,09/03/2014 07:31:00 AM,Wednesday,Auto,Fixed Object,354,Rindge Ave,,"354 Rindge Ave Cambridge, MA",42.393856,-71.1380386,"(42.393856, -71.1380386)"
32631,09/03/2014 11:47:00 AM,Wednesday,Auto,Bicycle,,QUINCY ST,Cambridge St,"QUINCY ST & Cambridge St Cambridge, MA",42.375473,-71.1143188,"(42.375473, -71.1143188)"
32632,09/08/2014 12:36:00 AM,Monday,Auto,Auto,,GARDEN ST,Waterhouse St,"GARDEN ST & Waterhouse St Cambridge, MA",42.3773079,-71.1228638,"(42.3773079, -71.1228638)"
32633,09/03/2014 04:14:00 PM,Wednesday,Auto,Fixed Object,,Education Way,,"Education Way Cambridge, MA",0,0,"(0, 0)"
32634,09/03/2014 04:25:00 PM,Wednesday,Auto,Parked Vehicle,1334,Cambridge St,,"1334 Cambridge St Cambridge, MA",42.3735809,-71.0996857,"(42.3735809, -71.0996857)"
32635,09/03/2014 08:41:00 PM,Wednesday,Auto,Taxi,605,Kendall St,,"605 Kendall St Cambridge, MA",42.364296,-71.0819244,"(42.364296, -71.0819244)"
32636,09/03/2014 02:30:00 PM,Wednesday,Auto,Bicycle,,Vassar St,MEMORIAL DR,"Vassar St & MEMORIAL DR Cambridge, MA",42.3534393,-71.1071396,"(42.3534393, -71.1071396)"
32637,09/04/2014 09:07:00 AM,Thursday,Auto,Parked Vehicle,,GARDEN ST,MASON ST,"GARDEN ST & MASON ST Cambridge, MA",42.376564,-71.1221848,"(42.376564, -71.1221848)"
32638,09/04/2014 10:57:00 AM,Thursday,Auto,Auto,1,Leighton,,"1 Leighton Cambridge, MA",42.3700829,-71.073761,"(42.3700829, -71.073761)"
32639,09/05/2014 11:53:00 AM,Friday,Auto,Auto,450,Concord Ave,,"450 Concord Ave Cambridge, MA",42.3863258,-71.1397095,"(42.3863258, -71.1397095)"
32640,09/05/2014 02:31:00 PM,Friday,Auto,Taxi,,River St,Massachusetts Ave,"River St & Massachusetts Ave Cambridge, MA",0,0,"(0, 0)"
32641,09/05/2014 06:23:00 PM,Friday,Auto,Parked Vehicle,80,FAWCETT ST,,"80 FAWCETT ST Cambridge, MA",42.3919754,-71.1461487,"(42.3919754, -71.1461487)"
32642,09/05/2014 06:43:00 PM,Friday,Taxi,Auto,,Rindge Ave,REED ST,"Rindge Ave & REED ST Cambridge, MA",42.3934479,-71.1320724,"(42.3934479, -71.1320724)"
32643,09/06/2014 10:09:00 AM,Saturday,Auto,Truck,,River St,PLEASANT ST,"River St & PLEASANT ST Cambridge, MA",42.3640404,-71.1082535,"(42.3640404, -71.1082535)"
32644,09/06/2014 01:29:00 PM,Saturday,Auto,Auto,,GRISWOLD ST,GRISWOLD ST,"GRISWOLD ST & GRISWOLD ST Cambridge, MA",42.3909187,-71.157196,"(42.3909187, -71.157196)"
32646,09/06/2014 03:49:00 PM,Saturday,Auto,Auto,93,Blanchard Rd,,"93 Blanchard Rd Cambridge, MA",42.3942795,-71.1582947,"(42.3942795, -71.1582947)"
32647,09/07/2014 12:26:00 AM,Sunday,Auto,Auto,11,MARIE AVE,,"11 MARIE AVE Cambridge, MA",42.3735237,-71.1042328,"(42.3735237, -71.1042328)"
32648,09/07/2014 12:00:00 PM,Sunday,Auto,Auto,,EVERETT ST,Massachusetts Ave,"EVERETT ST & Massachusetts Ave Cambridge, MA",42.3799896,-71.1199265,"(42.3799896, -71.1199265)"
32649,09/08/2014 08:13:00 AM,Monday,Auto,Auto,176,GREEN ST,,"176 GREEN ST Cambridge, MA",42.3634377,-71.1019745,"(42.3634377, -71.1019745)"
32652,09/09/2014 07:25:00 PM,Tuesday,Auto,Parked Vehicle,135,Columbia St,SUFFOLK ST,"135 Columbia St Cambridge, MA",42.3664017,-71.0981979,"(42.3664017, -71.0981979)"
32654,09/09/2014 10:25:00 AM,Tuesday,Auto,Auto,1613,Cambridge St,Antrim St,"1613 Cambridge St Cambridge, MA",42.3747635,-71.1088638,"(42.3747635, -71.1088638)"
32655,09/09/2014 11:41:00 AM,Tuesday,Auto,Bicycle,,Cedar St,DUDLEY ST,"Cedar St & DUDLEY ST Cambridge, MA",42.3957939,-71.1308594,"(42.3957939, -71.1308594)"
32656,09/09/2014 05:53:00 PM,Tuesday,Auto,Parked Vehicle,320,Brookline St,,"320 Brookline St Cambridge, MA",42.3560219,-71.1094513,"(42.3560219, -71.1094513)"
32657,09/09/2014 07:08:00 PM,Tuesday,Auto,Bicycle,259,Massachusetts Ave,,"259 Massachusetts Ave Cambridge, MA",42.3617363,-71.0975418,"(42.3617363, -71.0975418)"
32659,09/10/2014 09:30:00 AM,Wednesday,Auto,Motorcycle,1033,Massachusetts Ave,,"1033 Massachusetts Ave Cambridge, MA",42.3695755,-71.1118851,"(42.3695755, -71.1118851)"
32660,09/10/2014 04:05:00 PM,Wednesday,Truck,Bicycle,,HARVARD ST,Inman St,"HARVARD ST & Inman St Cambridge, MA",42.3689804,-71.1036682,"(42.3689804, -71.1036682)"
32661,09/10/2014 05:19:00 PM,Wednesday,Auto,Parked Vehicle,100,Cambridgeside Pl,FIRST ST,"100 Cambridgeside Pl Cambridge, MA",42.3670807,-71.0765686,"(42.3670807, -71.0765686)"
32662,09/10/2014 09:39:00 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,PLEASANT ST,"Massachusetts Ave & PLEASANT ST Cambridge, MA",42.3664093,-71.1053925,"(42.3664093, -71.1053925)"
32663,09/10/2014 10:51:00 PM,Wednesday,Auto,Truck,,Brattle Sq,Appleton Pl,"Brattle Sq & Appleton Pl Cambridge, MA",42.3774261,-71.1333771,"(42.3774261, -71.1333771)"
